Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
Copperslagน้ำขังทำให้ลื่น,Copperslag Stagnant water makes it slippery.,TFU,NCN,Unsafe Condition,Housekeeping,Copperslagน้ำขังทำให้ลื่น,Copperslag Stagnant water makes it slippery.
ใช้งานpalletไม้มีสภาพชำรุดผุพัง,"Used pallet, the wood is damaged and decayed.",TFU,NCN,Unsafe Condition,Housekeeping,ใช้งานpalletไม้มีสภาพชำรุดผุพัง,"Used pallet, the wood is damaged and decayed."
ไฟLEDvoltค้างประเด็นการนำเข้าCSEเป็นExplosionprrof,"LEDvolt stuck, CSE import issue as Explosionprrof",TFU,NCN,Unsafe Condition,CSE,ไฟLEDvoltค้างประเด็นการนำเข้าCSEเป็นExplosionprrof,"LEDvolt stuck, CSE import issue as Explosionprrof"
ไฟฉายนำใช้งานTankใช่แบบExplosionproof,Explosionproof LED tank light,TFU,NCN,Unsafe Condition,CSE,ไฟฉายนำใช้งานTankใช่แบบExplosionproof,Explosionproof LED tank light
ตรวจสอบตู้controlpanelเริ่มทำงาน,Check the controlpanel starts working.,TFU,NCN,Unsafe Condition,Electrical & Grounding,ตรวจสอบตู้controlpanelเริ่มทำงาน,Check the controlpanel starts working.
มีBlowerHolewatchด้านหน้าmanholeมีการขนย้ายsludge,"There is a BlowerHolewatch in front, the manhole has a moving sludge.",TFU,NCN,Unsafe Condition,CSE,มีBlowerHolewatchด้านหน้าmanholeมีการขนย้ายsludge,"There is a BlowerHolewatch in front, the manhole has a moving sludge."
ขนย้ายวางsupportซ้อนชั้นบนรถกระบะมีโอกาสหล่น,"Moving, stacking support on top of the pickup truck has a chance of falling.",TFU,NCN,Unsafe Condition,Transportation,ขนย้ายวางsupportซ้อนชั้นบนรถกระบะมีโอกาสหล่น,"Moving, stacking support on top of the pickup truck has a chance of falling."
ฉนวนหุ้มสายไฟหลุดCable,Insulated cable disconnected cable,TFU,NCN,Unsafe Condition,Electrical & Grounding,ฉนวนหุ้มสายไฟหลุดCable,Insulated cable disconnected cable
ช่องเปิดนั่งร้านด้านหน้าmanhole,scaffold opening in front of manhole,TFU,NCN,Unsafe Condition,Scaffolding,ช่องเปิดนั่งร้านด้านหน้าmanhole,scaffold opening in front of manhole
ต่อสายGroundย้อนกลับjumpGeneratorลากGroundผ่านGroundbar,Wire the Ground Reverse jumpGenerator Drag the Ground through the Groundbar.,TFU,NCN,Unsafe Condition,Electrical & Grounding,ต่อสายGroundย้อนกลับjumpGeneratorลากGroundผ่านGroundbar,Wire the Ground Reverse jumpGenerator Drag the Ground through the Groundbar.
ตะแกรงครอบท่อGeneratorอยู่สภาพพร้อมใช้งาน,The generator pipe cover is in good working condition.,TFU,NCN,Unsafe Condition,Tools & Equipment,ตะแกรงครอบท่อGeneratorอยู่สภาพพร้อมใช้งาน,The generator pipe cover is in good working condition.
ถังดับเพลิงstandbyเพียงพอ,fire extinguisher standby enough,TFU,NCN,Unsafe Condition,Paint/ Coat/ Blast,ถังดับเพลิงstandbyเพียงพอ,fire extinguisher standby enough
ผู้ปฏิบัติงานมีหน้ากากRงานขนย้ายsludge,The operator has a sludge mask.,TFU,NCN,Unsafe Condition,PPE,ผู้ปฏิบัติงานมีหน้ากากRงานขนย้ายsludge,The operator has a sludge mask.
ฝนตกน้ำท่วมขังพื้นที่ทำงาน,The rain flooded the work area.,TFU,NCN,Unsafe Condition,Housekeeping,ฝนตกน้ำท่วมขังพื้นที่ทำงาน,The rain flooded the work area.
ระบบVentilationfailed,Ventilationfailed system,TFU,NCN,Unsafe Condition,CSE,ระบบVentilationfailed,Ventilationfailed system
สายไฟพาดผ่านManholeprotect,Power cord runs through Manholeprotect,TFU,NCN,Unsafe Condition,Electrical & Grounding,สายไฟพาดผ่านManholeprotect,Power cord runs through Manholeprotect
สายไฟพาดปากmanholeรองผ้า,"Power cord across the mouth of the manhole, cloth pad",TFU,NCN,Unsafe Condition,CSE,สายไฟพาดปากmanholeรองผ้า,"Power cord across the mouth of the manhole, cloth pad"
วัสดุอุปกรณ์จัดเก็บพื้นที่จบงานปิดล้อมพื้นที่ติดป้ายชี้บ่งสถานะการขนย้าย,"Storage equipment, finishing work area, enclosed area labeled to indicate moving status.",UT,NP,Unsafe Condition,Housekeeping,วัสดุอุปกรณ์จัดเก็บพื้นที่จบงานปิดล้อมพื้นที่ติดป้ายชี้บ่งสถานะการขนย้าย,"Storage equipment, finishing work area, enclosed area labeled to indicate moving status."
งานถอดย้ายAirconditionนั่งร้านหมดอายุUpdate,Removing work. Aircondition scaffolding has expired. Update,OSBL,NTT,Unsafe Condition,Scaffolding,งานถอดย้ายAirconditionนั่งร้านหมดอายุUpdate,Removing work. Aircondition scaffolding has expired. Update
ข้อต่อสายEyewasherแตกชำรุด,The eyewasher connector is broken.,Olefins2,Olefins2,Unsafe Condition,Others,ข้อต่อสายEyewasherแตกชำรุด,The eyewasher connector is broken.
พบรังผึ้งขนาดใหญ่ด้านบนPipeRackพื้นที่,A large honeycomb is found above the PipeRack area.,COLD,Others,Unsafe Condition,Others,พบรังผึ้งขนาดใหญ่ด้านบนPipeRackพื้นที่,A large honeycomb is found above the PipeRack area.
Tagนั่งร้านอุปกรณ์ช่วยยกหมดอายุ,Tag scaffolding equipment to help lift expired,Olefins2,Pichit P.,Unsafe Condition,Scaffolding,Tagนั่งร้านอุปกรณ์ช่วยยกหมดอายุ,Tag scaffolding equipment to help lift expired
พิจารณาเพิ่มจำนวนถังขยะเพียงพอบริเวณจุดพักลดปริมาณขยะทิ้งลงพื้นป้องกันการปลิวPlant,Consider increasing the number of bins sufficient at the rest area to reduce the amount of waste dumped on the ground to prevent the plant from being blown up.,OSBL,Pichit P.,Unsafe Condition,Housekeeping,พิจารณาเพิ่มจำนวนถังขยะเพียงพอบริเวณจุดพักลดปริมาณขยะทิ้งลงพื้นป้องกันการปลิวPlant,Consider increasing the number of bins sufficient at the rest area to reduce the amount of waste dumped on the ground to prevent the plant from being blown up.
Hoseมีสภาพชำรุด,Hose is damaged,UT,PN Solution,Unsafe Condition,Water jet,Hoseมีสภาพชำรุด,Hose is damaged
มีHardBarricadeกั้นนั่งร้านRescueป้องกันคนตกลงด้านล่างCSE,There is a HardBarricade scaffolding barrier to prevent people falling below the CSE.,UT,PN Solution,Unsafe Condition,Work at height,มีHardBarricadeกั้นนั่งร้านRescueป้องกันคนตกลงด้านล่างCSE,There is a HardBarricade scaffolding barrier to prevent people falling below the CSE.
มีจุดแขวนบัตรผู้ปฏิบัติงานด้านในCSEทางเข้า,There is an operator card hanging point inside the entrance CSE.,UT,PN Solution,Unsafe Condition,CSE,มีจุดแขวนบัตรผู้ปฏิบัติงานด้านในCSEทางเข้า,There is an operator card hanging point inside the entrance CSE.
ทำงานช่องเปิดมีจุดคล้อง,Work openings with loop points,UT,PN Solution,Unsafe Condition,Work at height,ทำงานช่องเปิดมีจุดคล้อง,Work openings with loop points
ป้ายเตือนอันตรายอับอากาศเป็นไปตามกฎหมายกำหนดระบุข้อความ“อับอากาศอันตรายห้ามเข้า”),"The warning sign for danger of confined air is in accordance with the law stating “Confined air, dangerous air, do not enter”).",UT,PN Solution,Unsafe Condition,CSE,ป้ายเตือนอันตรายอับอากาศเป็นไปตามกฎหมายกำหนดระบุข้อความ“อับอากาศอันตรายห้ามเข้า”),"The warning sign for danger of confined air is in accordance with the law stating “Confined air, dangerous air, do not enter”)."
Steelplateมีน้ำขังมีมุมแหลมคมเดินปั่นจักรยานระวังสะดุดล้ม,"Steelplate, waterlogged with sharp corners, walking, cycling, be careful of tripping and falling.",HOT,Pongsak K.,Unsafe Condition,Others,Steelplateมีน้ำขังมีมุมแหลมคมเดินปั่นจักรยานระวังสะดุดล้ม,"Steelplate, waterlogged with sharp corners, walking, cycling, be careful of tripping and falling."
แจ้งเปลี่ยนCarboncanisterขยายผลพื้นที่,Notice of change of Carboncanister to expand area,HOT,Pongsak K.,Unsafe Condition,Process & Operation,แจ้งเปลี่ยนCarboncanisterขยายผลพื้นที่,Notice of change of Carboncanister to expand area
จัดเตรียมแผ่นเหล็กปูCoverรางระบายน้ำขอบรางระบายน้ำมีสภาพแตกชำรุด,"Prepare a steel sheet covering the drain gutter, the edge of the drain gutter is broken, damaged.",HOT,Pongsak K.,Unsafe Condition,Others,จัดเตรียมแผ่นเหล็กปูCoverรางระบายน้ำขอบรางระบายน้ำมีสภาพแตกชำรุด,"Prepare a steel sheet covering the drain gutter, the edge of the drain gutter is broken, damaged."
ARU-HH-สลิงผ้าใบนำมาใช้งานTagตรวจสภาพ,ARU-HH-Canvas slings are used for inspection tags.,OCU,Power Pipe,Unsafe Condition,Lifting,ARU-HH-สลิงผ้าใบนำมาใช้งานTagตรวจสภาพ,ARU-HH-Canvas slings are used for inspection tags.
แผ่นเหล็กปูข้ามรางระบายน้ำมีลักษณะโก่งมีโอกาสสะดุดได้รับบาดเจ็บ,"Steel plates laid across the drainage ditches look bent, there is a chance of tripping and injury.",COLD,PROFESS,Unsafe Condition,Others,แผ่นเหล็กปูข้ามรางระบายน้ำมีลักษณะโก่งมีโอกาสสะดุดได้รับบาดเจ็บ,"Steel plates laid across the drainage ditches look bent, there is a chance of tripping and injury."
งานเจาะสกัดคอนกรีตมีถังดับเพลิงStandbyหน้างาน,Concrete extraction work. There is a standby fire extinguisher at the job site.,HOT,PROFESS,Unsafe Condition,Hot Work,งานเจาะสกัดคอนกรีตมีถังดับเพลิงStandbyหน้างาน,Concrete extraction work. There is a standby fire extinguisher at the job site.
นั่งร้านค้ำยันขาลอย,scaffolding,TFU,PROFESS,Unsafe Condition,Scaffolding,นั่งร้านค้ำยันขาลอย,scaffolding
แผ่นนั่งร้านรองยืนวางพื้นที่ปากหลุมมีสภาพดินเปียกชื้นเสี่ยง่อการทรุดตัวขณะยืนปฏิบัติงาน,"Standing scaffolding laying the hole mouth area with wet soil condition, risk of subsidence while standing work.",UT,Profess Con,Unsafe Condition,Excavation,แผ่นนั่งร้านรองยืนวางพื้นที่ปากหลุมมีสภาพดินเปียกชื้นเสี่ยง่อการทรุดตัวขณะยืนปฏิบัติงาน,"Standing scaffolding laying the hole mouth area with wet soil condition, risk of subsidence while standing work."
งานปัดขอบล้อมผ้าใบมีเศษปูนกระเด็นโดนคนเดินผ่านไปมา,"The work around the edge of the canvas, with fragments of cement splashed by people passing by.",UT,Profess Con,Unsafe Condition,Civil,งานปัดขอบล้อมผ้าใบมีเศษปูนกระเด็นโดนคนเดินผ่านไปมา,"The work around the edge of the canvas, with fragments of cement splashed by people passing by."
ใช้งานหินเจียรมีHandle,Use a grinding wheel with a handle,COLD,PROTECH,Unsafe Condition,Hot Work,ใช้งานหินเจียรมีHandle,Use a grinding wheel with a handle
มีการปิดล้อมพื้นที่ปฏิบัติงานที่สูงงานขันBolt,There is an enclosed work area at height.,HOT,PROTECH,Unsafe Condition,Installation/ Alignment,มีการปิดล้อมพื้นที่ปฏิบัติงานที่สูงงานขันBolt,There is an enclosed work area at height.
มีป้ายเตือนอันตรายงานรื้อนั่งร้าน,There is a warning sign for the danger of demolishing scaffolding.,HOT,PROTECH,Unsafe Condition,Scaffolding,มีป้ายเตือนอันตรายงานรื้อนั่งร้าน,There is a warning sign for the danger of demolishing scaffolding.
มีป้ายเตือนอันตรายงานรื้อถอนนั่งร้าน,There is a warning sign for the danger of demolishing scaffolding.,HOT,PROTECH,Unsafe Condition,Scaffolding,มีป้ายเตือนอันตรายงานรื้อถอนนั่งร้าน,There is a warning sign for the danger of demolishing scaffolding.
งานmodifypipelineมีGasDetector,The modifypipeline job has GasDetector.,HOT,PROTECH,Unsafe Condition,Hot Work,งานmodifypipelineมีGasDetector,The modifypipeline job has GasDetector.
งานขัดสนิมทาสีมีถังดับเพลิงstandby,"Rust polishing work, paint, standby fire extinguisher",HOT,PROTECH,Unsafe Condition,Paint/ Coat/ Blast,งานขัดสนิมทาสีมีถังดับเพลิงstandby,"Rust polishing work, paint, standby fire extinguisher"
ปิดล้อมพื้นที่(ธงขาวแดงครอบคลุม,encircle the area (red and white flags covering,HOT,PROTECH,Unsafe Condition,Scaffolding,ปิดล้อมพื้นที่(ธงขาวแดงครอบคลุม,encircle the area (red and white flags covering
clampนั่งร้านล็อคส่วนค้ำยันนั่งร้านมีโอกาสหลุดตก,"Scaffolding clamp locks the scaffolding support, there is a chance of falling off.",TFU,PROTECH,Unsafe Condition,Scaffolding,clampนั่งร้านล็อคส่วนค้ำยันนั่งร้านมีโอกาสหลุดตก,"Scaffolding clamp locks the scaffolding support, there is a chance of falling off."
ลวดงานรื้อถอนนั่งร้าน,Scaffolding Demolition Wire,TFU,PROTECH,Unsafe Condition,Housekeeping,ลวดงานรื้อถอนนั่งร้าน,Scaffolding Demolition Wire
แผ่นตกนั่งร้านมีช่องโหว่,The scaffolding fall plate has a loophole.,TFU,PROTECH,Unsafe Condition,Scaffolding,แผ่นตกนั่งร้านมีช่องโหว่,The scaffolding fall plate has a loophole.
โครงสร้างนั่งร้านฐาน,base scaffolding structure,TFU,PROTECH,Unsafe Condition,Scaffolding,โครงสร้างนั่งร้านฐาน,base scaffolding structure
ผูกมัดแผ่นนั่งร้านใช้ยืนส่งอุปกรณ์นั่งร้าน,Bonded Scaffolding Plates Used Standing Transmission Scaffolding Equipment,TFU,PROTECH,Unsafe Condition,Scaffolding,ผูกมัดแผ่นนั่งร้านใช้ยืนส่งอุปกรณ์นั่งร้าน,Bonded Scaffolding Plates Used Standing Transmission Scaffolding Equipment
มีถาดน้ำมันเครื่องGenerator,There is a generator oil tray.,TFU,PROTECH,Unsafe Condition,Housekeeping,มีถาดน้ำมันเครื่องGenerator,There is a generator oil tray.
ขนาดป้ายงานHWIเป็นไปตามข้อกำหนด,The size of the HWI label is compliant.,TFU,PROTECH,Unsafe Condition,Hot Work,ขนาดป้ายงานHWIเป็นไปตามข้อกำหนด,The size of the HWI label is compliant.
งานเชื่อมถังดับเพลิงstandbyเพียงพอ,Welding fire extinguishers standby enough.,TFU,PROTECH,Unsafe Condition,Hot Work,งานเชื่อมถังดับเพลิงstandbyเพียงพอ,Welding fire extinguishers standby enough.
งานขัดสีLinepipeหินเจียรปัดหางเปียปิดล้อมผ้าไฟมีประกายไฟIdentifyscopeงานครอบคลุมงานมีประกายไฟระบุเป็นHWII)),"Linepipe polishing, grinding stone, pigtail, enclosing the spark cloth, Identifyscope, sparkling work, identified as HWII))",TFU,PROTECH,Unsafe Condition,Hot Work,งานขัดสีLinepipeหินเจียรปัดหางเปียปิดล้อมผ้าไฟมีประกายไฟIdentifyscopeงานครอบคลุมงานมีประกายไฟระบุเป็นHWII)),"Linepipe polishing, grinding stone, pigtail, enclosing the spark cloth, Identifyscope, sparkling work, identified as HWII))"
งานยกBurnerใช้อุปกรณ์ทุ่นแรงเหมาะสมมีรอกประคองขณะยก,Burner lifting work. Use suitable load-saving equipment with a hoist to support while lifting.,TFU,PROTECH,Unsafe Condition,Lifting,งานยกBurnerใช้อุปกรณ์ทุ่นแรงเหมาะสมมีรอกประคองขณะยก,Burner lifting work. Use suitable load-saving equipment with a hoist to support while lifting.
จุดConnectสายGround,Ground line connection point,TFU,PROTECH,Unsafe Condition,Electrical & Grounding,จุดConnectสายGround,Ground line connection point
ตะแกรงครอบท่อGeneratorอยู่สภาพพร้อมใช้งาน,The generator pipe cover is in good working condition.,TFU,PROTECH,Unsafe Condition,Tools & Equipment,ตะแกรงครอบท่อGeneratorอยู่สภาพพร้อมใช้งาน,The generator pipe cover is in good working condition.
ติดตั้งแผ่นมีช่องโหว่ขนาดใหญ่,Install the plate has a large gap.,TFU,PROTECH,Unsafe Condition,Scaffolding,ติดตั้งแผ่นมีช่องโหว่ขนาดใหญ่,Install the plate has a large gap.
นำรถเข็นเป็นไปตามมาตรฐานขนย้ายอุปกรณ์นั่งร้าน,Bring a wheelchair in accordance with the standards for moving scaffolding equipment.,TFU,PROTECH,Unsafe Condition,Scaffolding,นำรถเข็นเป็นไปตามมาตรฐานขนย้ายอุปกรณ์นั่งร้าน,Bring a wheelchair in accordance with the standards for moving scaffolding equipment.
ปิดล้อมพื้นที่มีธงแดง,encircle the area with red flags,TFU,PROTECH,Unsafe Condition,Lifting,ปิดล้อมพื้นที่มีธงแดง,encircle the area with red flags
มีการติดตั้งนั่งร้านรอบflareมีทางออกกรณีเกิดเหตุฉุกเฉินติดตั้งป้ายทางออกนั่งร้านพาดทางออกฉุกเฉิน,"Scaffolding is installed around the flare, emergency exits are installed, scaffolding exit signs are installed across the emergency exit.",TFU,PROTECH,Unsafe Condition,Scaffolding,มีการติดตั้งนั่งร้านรอบflareมีทางออกกรณีเกิดเหตุฉุกเฉินติดตั้งป้ายทางออกนั่งร้านพาดทางออกฉุกเฉิน,"Scaffolding is installed around the flare, emergency exits are installed, scaffolding exit signs are installed across the emergency exit."
มีถุงกระสอบเศษวัสดุติดไฟบริเวณมีการทำงานHWI,There are sacks of flammable materials at the HWI work area.,TFU,PROTECH,Unsafe Condition,Hot Work,มีถุงกระสอบเศษวัสดุติดไฟบริเวณมีการทำงานHWI,There are sacks of flammable materials at the HWI work area.
มีวัสดุติดไฟถุงกระสอบบริเวณHotbox,There are flammable materials in the hotbox area.,TFU,PROTECH,Unsafe Condition,Hot Work,มีวัสดุติดไฟถุงกระสอบบริเวณHotbox,There are flammable materials in the hotbox area.
ลำเรียงแผ่นนั่งร้านวางผูกมัดมีโอกาสเหยียบหัวกระดานกระดกตก,The beams of the scaffolding bound to have a chance to step on the head of the downed board.,TFU,PROTECH,Unsafe Condition,Scaffolding,ลำเรียงแผ่นนั่งร้านวางผูกมัดมีโอกาสเหยียบหัวกระดานกระดกตก,The beams of the scaffolding bound to have a chance to step on the head of the downed board.
วางpackนั่งร้านซ้อนเมตรlockpackป้องกันการร่วงหล่นยกขนย้าย,"Drop pack scaffolding, stacking meters, lockpack, prevent falling, lifting, moving.",TFU,PROTECH,Unsafe Condition,Lifting,วางpackนั่งร้านซ้อนเมตรlockpackป้องกันการร่วงหล่นยกขนย้าย,"Drop pack scaffolding, stacking meters, lockpack, prevent falling, lifting, moving."
หินเจียรมีHandle,Grinding stone with handle,TFU,PROTECH,Unsafe Condition,Hot Work,หินเจียรมีHandle,Grinding stone with handle
GeneraterมีSticker,Generater has Sticker,UT,PROTECH,Unsafe Condition,Tools & Equipment,GeneraterมีSticker,Generater has Sticker
Riggerยืนให้สัญญาณคานConcretepiperackคล้องSafetyHarnessน็อตยึดรางสายไฟ,Rigger signal stand Concretepiperack SafetyHarness Cable nut,UT,PROTECH,Unsafe Condition,Work at height,Riggerยืนให้สัญญาณคานConcretepiperackคล้องSafetyHarnessน็อตยึดรางสายไฟ,Rigger signal stand Concretepiperack SafetyHarness Cable nut
UT-TFU-Ccon-วางอุปกรณ์นั่งร้านทางเข้า,UT-TFU-Ccon-Place the entrance scaffolding device,UT,PROTECH,Unsafe Condition,CSE,UT-TFU-Ccon-วางอุปกรณ์นั่งร้านทางเข้า,UT-TFU-Ccon-Place the entrance scaffolding device
ใช้กำมะลอต๋งท่อ,Use a walnut pipe,UT,PROTECH,Unsafe Condition,Lifting,ใช้กำมะลอต๋งท่อ,Use a walnut pipe
การจัดเก็บสายHoseใช้งานกีดขวางทางเดินพื้นที่ปฏิบัติงาน,Cable Storage Hose Use to obstruct the work area corridors.,UT,PROTECH,Unsafe Condition,Housekeeping,การจัดเก็บสายHoseใช้งานกีดขวางทางเดินพื้นที่ปฏิบัติงาน,Cable Storage Hose Use to obstruct the work area corridors.
จัดเตรียมถังดับเพลิงจุดปฏิบัติงานมีด้านบนถัง>>แนะนำจัดหาด้านล่างเพิ่มถัง,"Prepare fire extinguishers, operating points are above the tank>>recommended supplying the bottom add the tank.",UT,PROTECH,Unsafe Condition,Hot Work,จัดเตรียมถังดับเพลิงจุดปฏิบัติงานมีด้านบนถัง>>แนะนำจัดหาด้านล่างเพิ่มถัง,"Prepare fire extinguishers, operating points are above the tank>>recommended supplying the bottom add the tank."
นั่งร้านตั้งทิ้งเกิดสนิม,scaffolding set to leave rust,UT,PROTECH,Unsafe Condition,Scaffolding,นั่งร้านตั้งทิ้งเกิดสนิม,scaffolding set to leave rust
มีช่องเปิดนั่งร้าน,with open scaffolding,UT,PROTECH,Unsafe Condition,Scaffolding,มีช่องเปิดนั่งร้าน,with open scaffolding
มีท่อโครงสร้างHotBox,"There is a structure pipe, HotBox.",UT,PROTECH,Unsafe Condition,Housekeeping,มีท่อโครงสร้างHotBox,"There is a structure pipe, HotBox."
วางpipeนั่งร้านกีดขวางทางเดิน,Place a scaffolding pipe to block the walkway.,UT,PROTECH,Unsafe Condition,Housekeeping,วางpipeนั่งร้านกีดขวางทางเดิน,Place a scaffolding pipe to block the walkway.
สลิงผ้าใบรองผ้า,canvas sling,UT,PROTECH,Unsafe Condition,Lifting,สลิงผ้าใบรองผ้า,canvas sling
สลิงผ้าใบรองผ้า,canvas sling,UT,PROTECH,Unsafe Condition,Lifting,สลิงผ้าใบรองผ้า,canvas sling
หินเจียรมีHandle,Grinding stone with handle,UT,PROTECH,Unsafe Condition,Hot Work,หินเจียรมีHandle,Grinding stone with handle
อุปกรณ์ช่วยยกผ่านการตรวจสอบรอบเดือนเปลี่ยนสติกเกอร์update,"Equipment to help lift through the monthly cycle check, change the sticker, update",UT,PROTECH,Unsafe Condition,Lifting,อุปกรณ์ช่วยยกผ่านการตรวจสอบรอบเดือนเปลี่ยนสติกเกอร์update,"Equipment to help lift through the monthly cycle check, change the sticker, update"
เตรียมถุงคัดแยกใส่หินเจียรใบตัดอุปกรณ์ใช้งานหน้างานติดป้ายบ่งชี้,"Prepare a sorting bag for grinding stones, cutting tools, use on the job site, attach labels to indicate.",UT,PROTECH ,Unsafe Condition,Housekeeping,เตรียมถุงคัดแยกใส่หินเจียรใบตัดอุปกรณ์ใช้งานหน้างานติดป้ายบ่งชี้,"Prepare a sorting bag for grinding stones, cutting tools, use on the job site, attach labels to indicate."
ตรวจสอบพื้นที่นำวัสดุติดไฟบริเวณมีการทำงานHWI,Inspect the area leading to flammable materials in HWI operations.,UT,PROTECH ,Unsafe Condition,Hot Work,ตรวจสอบพื้นที่นำวัสดุติดไฟบริเวณมีการทำงานHWI,Inspect the area leading to flammable materials in HWI operations.
ตรวจสอบอุปกรณ์เครื่องมือนำมาใช้งานมีเชือกผูกมัดคล้อง,Check the equipment used to be used with a rope attached.,UT,PROTECH ,Unsafe Condition,Work at height,ตรวจสอบอุปกรณ์เครื่องมือนำมาใช้งานมีเชือกผูกมัดคล้อง,Check the equipment used to be used with a rope attached.
Boomliftใช้การทาสีcoldboxอยู่ปุ่มLCSมากเกินไป,Boomlift used too much coldbox painting on the LCS button.,Olefins2,PSA,Unsafe Condition,Paint/ Coat/ Blast,Boomliftใช้การทาสีcoldboxอยู่ปุ่มLCSมากเกินไป,Boomlift used too much coldbox painting on the LCS button.
กั้นพื้นที่ยูโรทป,blocking the euro area,Olefins2,PSA,Unsafe Condition,Paint/ Coat/ Blast,กั้นพื้นที่ยูโรทป,blocking the euro area
งานเชื่อมปิดล้อมผ้าไฟทำให้มีสะเก็ดไฟหล่นช่องลงพื้น,"The welding work enclosed the fire cloth, causing fire flakes to fall into the ground.",Olefins2,PSA,Unsafe Condition,Hot Work,งานเชื่อมปิดล้อมผ้าไฟทำให้มีสะเก็ดไฟหล่นช่องลงพื้น,"The welding work enclosed the fire cloth, causing fire flakes to fall into the ground."
งานประกอบเชื่อมPlatfromปิดล้อมผ้าไฟ,"Assembly work, welding Platfrom, enclosed light cloth",Olefins2,PSA,Unsafe Condition,Hot Work,งานประกอบเชื่อมPlatfromปิดล้อมผ้าไฟ,"Assembly work, welding Platfrom, enclosed light cloth"
ตู้ไฟทำการตรวจสอบchecklist,Checklist,Olefins2,PSA,Unsafe Condition,Electrical & Grounding,ตู้ไฟทำการตรวจสอบchecklist,Checklist
ป้ายเตือนอันตรายมีสภาพซีดจางเปียกน้ำ,"Hazard warning signs are faded, wet.",Olefins2,PSA,Unsafe Condition,Scaffolding,ป้ายเตือนอันตรายมีสภาพซีดจางเปียกน้ำ,"Hazard warning signs are faded, wet."
พบมีงานตัดเจียรล้อมผ้าไฟด้านมีถังดับเพลิง,Found there was a cutting work around the fire cloth with a fire extinguisher.,Olefins2,PSA,Unsafe Condition,Hot Work,พบมีงานตัดเจียรล้อมผ้าไฟด้านมีถังดับเพลิง,Found there was a cutting work around the fire cloth with a fire extinguisher.
ล้อมล้อมผ้าไฟ,surrounded by fire cloth,Olefins2,PSA,Unsafe Condition,Hot Work,ล้อมล้อมผ้าไฟ,surrounded by fire cloth
ช่วงเตรียมงานมีการคล้องสลิงวิธี,"During the preparatory work, there was a slinging method.",Olefins2,PSI,Unsafe Condition,Work at height,ช่วงเตรียมงานมีการคล้องสลิงวิธี,"During the preparatory work, there was a slinging method."
งานยกMotorปิดล้อมพื้นที่ครอบคลุม,Motor lifting work to enclose the covered area,ARU,REPCO,Unsafe Condition,Lifting,งานยกMotorปิดล้อมพื้นที่ครอบคลุม,Motor lifting work to enclose the covered area
งานยกอุปกรณ์การปิดกั้นbarricadeใช้กรวยวาง,The work of lifting the barrier blocking device is used to place the cone.,COLD,REPCO,Unsafe Condition,Lifting,งานยกอุปกรณ์การปิดกั้นbarricadeใช้กรวยวาง,The work of lifting the barrier blocking device is used to place the cone.
งานCleanwasteจุดต่อHoodleakทำให้อากาศเสียบางส่วนATMผ่านScrubber,"Cleanwaste, Hoodleak connector, some polluted air, ATM via Scrubber.",HOT,REPCO,Unsafe Condition,CSE,งานCleanwasteจุดต่อHoodleakทำให้อากาศเสียบางส่วนATMผ่านScrubber,"Cleanwaste, Hoodleak connector, some polluted air, ATM via Scrubber."
งานยกติดตั้งP-ABปิดล้อมพื้นที่กรวยขนาดเล็กความสูงได้มาตรฐาน,"Lifting and installation work P-AB encloses a small cone area, standard height.",HOT,REPCO,Unsafe Condition,Lifting,งานยกติดตั้งP-ABปิดล้อมพื้นที่กรวยขนาดเล็กความสูงได้มาตรฐาน,"Lifting and installation work P-AB encloses a small cone area, standard height."
ถังอุปกรณ์วางทิ้งใช้งาน,Disposable equipment bins,HOT,REPCO,Unsafe Condition,Housekeeping,ถังอุปกรณ์วางทิ้งใช้งาน,Disposable equipment bins
งานmodifycloseloopheavyoilมีถาดถังใส่สารเคมี,Modify closeloopheavyoil work. There is a tray for chemical tanks.,Olefins2,REPCO,Unsafe Condition,Chemical Work,งานmodifycloseloopheavyoilมีถาดถังใส่สารเคมี,Modify closeloopheavyoil work. There is a tray for chemical tanks.
มีChecklistถังNitrogen,There is a checklist of Nitrogen tanks.,UT,REPCO,Unsafe Condition,Tools & Equipment,มีChecklistถังNitrogen,There is a checklist of Nitrogen tanks.
งานซ่อมpumpmotorมีการติดTagLOTO,Pumpmotor repair work. TagLOTO is attached.,UT,REPCO,Unsafe Condition,LOTO/ LB,งานซ่อมpumpmotorมีการติดTagLOTO,Pumpmotor repair work. TagLOTO is attached.
งานยกCompressorairstandbyปิดกั้นพื้นที่ครอบคลุม,Compressorairstandby lifting works blocking the coverage area.,UT,REPCO,Unsafe Condition,Lifting,งานยกCompressorairstandbyปิดกั้นพื้นที่ครอบคลุม,Compressorairstandby lifting works blocking the coverage area.
นำไม้เข้ามาPlantวางขอบปูนเสี่ยงการสะดุด,"Bring the wood into the plant, put the edge of the cement, risk of tripping.",UT,REPCO,Unsafe Condition,Housekeeping,นำไม้เข้ามาPlantวางขอบปูนเสี่ยงการสะดุด,"Bring the wood into the plant, put the edge of the cement, risk of tripping."
มีขยะตกค้างการทำBigcleening,There is residual waste in Bigcleening.,UT,REPCO,Unsafe Condition,Housekeeping,มีขยะตกค้างการทำBigcleening,There is residual waste in Bigcleening.
